Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00045271,F07G6.10,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F07G6.10 is enriched in GABAergic neurons based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on tiling array, RNA-seq, proteomic, and microarray studies\; is affected by eight chemicals including Ethanol, Rotenone, and Tunicamycin based on RNA-seq and microarray studies."
WBGene00045245,F09A5.9,Unassigned,Unassigned,Unassigned: TransThyretin-Related family domain,"ttr-34 is enriched in dopaminergic neurons and the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, hsf-1, and clk-1 based on RNA-seq and microarray studies\; is affected by seven chemicals including Ethanol, manganese chloride, and D-glucose based on RNA-seq studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00013845,ZC47.14,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: F box,"fbxa-37 is enriched in several tissues, including the coelomocyte, the germline precursor cell, the hypodermis, the muscle cell, and the nervous system based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by methylmercuric chloride, Cadmium Chloride, and Sodium Chloride based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: F-box domain, Domain of unknown function DUF38, Caenorhabditis species, and F-box-like domain superfamily."
WBGene00045394,ZK813.7,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ZK813.7 is enriched in dopaminergic neurons, the cephalic sheath cell, and the hypodermis based on tiling array and RNA-seq studies\; is affected by several genes including glp-1, dpy-10, and hsf-1 based on RNA-seq, tiling array, and microarray studies\; is affected by five chemicals including Ethanol, Rotenone, and Heme based on RNA-seq and microarray studies."
WBGene00007257,C01H6.8,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"C01H6.8 is enriched in the hypodermis and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, let-7, and gld-1 based on microarray, proteomic, and RNA-seq studies\; is affected by six chemicals including Alovudine, stavudine, and fluoranthene based on RNA-seq and microarray studies."
WBGene00007807,C29F3.7,Stress response,Stress response: pathogen,Stress response: pathogen: CUB,C29F3.7 is involved in innate immune response\; localizes to the membrane raft.
WBGene00045411,C25F9.11,Unassigned,Unassigned,Unassigned,"C25F9.11 is enriched in dopaminergic neurons, the OLL, and the PVD based on tiling array studies\; is affected by several genes including daf-16, hsf-1, and clk-1 based on tiling array, RNA-seq, and microarray studies\; is affected by seven chemicals including Ethanol, Nitric Oxide, and D-glucose based on RNA-seq and microarray studies."
WBGene00045401,T26F2.3,mRNA functions,mRNA functions: processing,mRNA functions: processing: decapping,"eol-1 is predicted to have 5'-3' exonuclease activity, RNA pyrophosphohydrolase activity, and mRNA binding activity\; is involved in regulation of olfactory learning\; is expressed in the head, the nervous system, and the reproductive system."
WBGene00012435,Y11D7A.12,Transcription: unassigned,Transcription: unassigned,Transcription: unassigned,"flh-1 exhibits DNA-binding activity transcription factor activity and sequence-specific DNA binding activity\; is involved in negative regulation of transcription, DNA-templated and nematode larval development."
WBGene00020160,T02C5.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"igcm-3 is expressed in several tissues, including the alimentary system, the epithelial system, and the reproductive system\; is predicted to encode a protein with the following domains: Immunoglobulin-like fold and Immunoglobulin-like domain superfamily."
